hcc_code,segment,coefficient,coefficient_community_nondual_aged,hcc_description
HCC 1,Community_FullDual_Aged,0.397,,HIV/AIDS
HCC 107,Community_FullDual_Aged,0.61,,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero
HCC 108,Community_FullDual_Aged,0.103,,"Sickle Cell Disorders, Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
HCC 109,Community_FullDual_Aged,1.048,,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias"
HCC 111,Community_FullDual_Aged,15.539,,"Hemophilia, Male"
HCC 112,Community_FullDual_Aged,0.46,,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions
HCC 114,Community_FullDual_Aged,2.016,,Common Variable and Combined Immunodeficiencies
HCC 115,Community_FullDual_Aged,0.438,,Specified Immunodeficiencies and White Blood Cell Disorders
HCC 125,Community_FullDual_Aged,0.438,,"Dementia, Severe"
HCC 126,Community_FullDual_Aged,0.438,,"Dementia, Moderate"
HCC 127,Community_FullDual_Aged,0.438,,"Dementia, Mild or Unspecified"
HCC 135,Community_FullDual_Aged,0.702,,Drug Use with Psychotic Complications
HCC 136,Community_FullDual_Aged,0.502,,Alcohol Use with Psychotic Complications
HCC 137,Community_FullDual_Aged,0.502,,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications"
HCC 138,Community_FullDual_Aged,0.502,,"Drug Use Disorder, Mild, Uncomplicated, Except Cannabis"
HCC 139,Community_FullDual_Aged,0.478,,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications"
HCC 151,Community_FullDual_Aged,0.591,,Schizophrenia
HCC 152,Community_FullDual_Aged,0.579,,"Psychosis, Except Schizophrenia"
HCC 153,Community_FullDual_Aged,0.42,,Personality Disorders; Anorexia/Bulimia Nervosa
HCC 154,Community_FullDual_Aged,0.349,,Bipolar Disorders without Psychosis
HCC 155,Community_FullDual_Aged,0.316,,"Major Depression, Moderate or Severe, without Psychosis"
HCC 17,Community_FullDual_Aged,3.896,,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic"
HCC 18,Community_FullDual_Aged,2.277,,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid"
HCC 180,Community_FullDual_Aged,1.068,,Quadriplegia
HCC 181,Community_FullDual_Aged,0.859,,Paraplegia
HCC 182,Community_FullDual_Aged,0.402,,Spinal Cord Disorders/Injuries
HCC 19,Community_FullDual_Aged,1.563,,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers"
HCC 190,Community_FullDual_Aged,1.427,,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal Muscular Atrophy"
HCC 191,Community_FullDual_Aged,0.393,,Quadriplegic Cerebral Palsy
HCC 192,Community_FullDual_Aged,0.0,,"Cerebral Palsy, Except Quadriplegic"
HCC 193,Community_FullDual_Aged,0.957,,Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy
HCC 195,Community_FullDual_Aged,2.153,,Myasthenia Gravis with (Acute) Exacerbation
HCC 196,Community_FullDual_Aged,0.503,,Myasthenia Gravis without (Acute) Exacerbation and Other Myoneural Disorders
HCC 197,Community_FullDual_Aged,0.369,,Muscular Dystrophy
HCC 198,Community_FullDual_Aged,0.791,,Multiple Sclerosis
HCC 199,Community_FullDual_Aged,0.634,,Parkinson and Other Degenerative Disease of Basal Ganglia
HCC 2,Community_FullDual_Aged,0.649,,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
HCC 20,Community_FullDual_Aged,1.166,,Lung and Other Severe Cancers
HCC 200,Community_FullDual_Aged,0.165,,Friedreich and Other Hereditary Ataxias; Huntington Disease
HCC 201,Community_FullDual_Aged,0.233,,Seizure Disorders and Convulsions
HCC 202,Community_FullDual_Aged,0.721,,"Coma, Brain Compression/Anoxic Damage"
HCC 21,Community_FullDual_Aged,0.654,,Lymphoma and Other Cancers
HCC 211,Community_FullDual_Aged,1.981,,Respirator Dependence/Tracheostomy Status/Complications
HCC 212,Community_FullDual_Aged,0.573,,Respiratory Arrest
HCC 213,Community_FullDual_Aged,0.573,,Cardio-Respiratory Failure and Shock
HCC 22,Community_FullDual_Aged,0.382,,"Bladder, Colorectal, and Other Cancers"
HCC 221,Community_FullDual_Aged,1.412,,Heart Transplant Status/Complications
HCC 222,Community_FullDual_Aged,2.927,,End-Stage Heart Failure
HCC 223,Community_FullDual_Aged,2.927,,Heart Failure with Heart Assist Device/Artificial Heart
HCC 224,Community_FullDual_Aged,0.406,,Acute on Chronic Heart Failure
HCC 225,Community_FullDual_Aged,0.406,,Acute Heart Failure (Excludes Acute on Chronic)
HCC 226,Community_FullDual_Aged,0.406,,"Heart Failure, Except End-Stage and Acute"
HCC 227,Community_FullDual_Aged,0.173,,Cardiomyopathy/Myocarditis
HCC 228,Community_FullDual_Aged,0.493,,Acute Myocardial Infarction
HCC 229,Community_FullDual_Aged,0.325,,Unstable Angina and Other Acute Ischemic Heart Disease
HCC 23,Community_FullDual_Aged,0.196,,"Prostate, Breast, and Other Cancers and Tumors"
