icd10_code,cc_number,hcc_code,cc_label,is_payment_hcc
A0104,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A0105,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A021,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A0223,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A0224,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A065,283,HCC283,"Empyema, Lung Abscess",1
A072,6,HCC6,Opportunistic Infections,1
A207,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A227,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A267,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A310,6,HCC6,Opportunistic Infections,1
A312,6,HCC6,Opportunistic Infections,1
A327,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A3681,227,HCC227,Cardiomyopathy/Myocarditis,1
A392,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A393,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A394,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A3983,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A3984,92,HCC92,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,1
A400,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A401,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A403,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A408,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A409,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4101,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4102,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A411,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A412,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A413,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A414,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4150,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4151,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4152,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
A4153,2,HCC2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
