icd10_code,short_desc,long_desc,description,category_code,category_desc,includes,excludes1,excludes2,code_first,use_additional,is_billable,is_chronic
A01.04,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A01,,,,,,,True,True
A01.05,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A01,,,,,,,True,True
A02.1,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A02,,,,,,,True,True
A02.23,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A02,,,,,,,True,True
A02.24,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A02,,,,,,,True,True
A06.5,"Empyema, Lung Abscess","Empyema, Lung Abscess","Empyema, Lung Abscess",A06,,,,,,,True,True
A07.2,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,A07,,,,,,,True,True
A20.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A20,,,,,,,True,True
A22.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A22,,,,,,,True,True
A26.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A26,,,,,,,True,True
A31.0,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,A31,,,,,,,True,True
A31.2,Opportunistic Infections,Opportunistic Infections,Opportunistic Infections,A31,,,,,,,True,True
A32.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A32,,,,,,,True,True
A36.81,Cardiomyopathy/Myocarditis,Cardiomyopathy/Myocarditis,Cardiomyopathy/Myocarditis,A36,,,,,,,True,True
A39.2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A39,,,,,,,True,True
A39.3,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A39,,,,,,,True,True
A39.4,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A39,,,,,,,True,True
A39.83,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A39,,,,,,,True,True
A39.84,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A39,,,,,,,True,True
A40.0,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A40,,,,,,,True,True
A40.1,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A40,,,,,,,True,True
A40.3,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A40,,,,,,,True,True
A40.8,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A40,,,,,,,True,True
A40.9,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A40,,,,,,,True,True
A41.01,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.02,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.1,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.2,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.3,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.4,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.50,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.51,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.52,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.53,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.54,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.59,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.81,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.89,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.9,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A42.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A42,,,,,,,True,True
A48.0,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,A48,,,,,,,True,True
